Regione,ASL,Città,CAP,Indirizzo,dug,civico,Farmacie,"Data Adesione al
protocollo"
190 - Sicilia,203 - ASP CATANIA,Santa Maria di Licodia,95038,Via Aldo Moro Sn,Via Aldo Moro Sn,,Farmacia Dott.ssa Pittala' Daniela,2021-08-27T00:00:00Z
"060 - Friuli Venezia
Giulia",206 - AZIENDA SANITARIA UNIVERSITARIA FRIULI CENTRALE (ASU FC),Cividale del Friuli,33043,Largo Boiani11,Largo Boiani,11,Farmacia Minisini Dott Ri Enrico e Mattia Minisini S.N.C.,2021-08-13T00:00:00Z
"060 - Friuli Venezia
Giulia",206 - AZIENDA SANITARIA UNIVERSITARIA FRIULI CENTRALE (ASU FC),Bordano,33010,Roma43,Roma,43,Farmacia Dott Zanin Cristian,2021-08-20T00:00:00Z
190 - Sicilia,206 - PALERMO,Palermo,90100,Via Principe Belmonte 110,Via Principe Belmonte,110,Farmacia Dr.ssa Saladino Olivia,2021-08-24T00:00:00Z
190 - Sicilia,203 - ASP CATANIA,Catania,95129,Via Palmanova 20,Via Palmanova,20,Farmacia Peluso del Dott. Peluso Paolo Giuseppe e C S.A.S.,2021-08-06T00:00:00Z
"060 - Friuli Venezia
Giulia",205 - FRIULI OCCIDENTALE,Pasiano di Pordenone,33087,Via G Garibaldi 9,Via G Garibaldi,9,Farmacia Cecchini S R L,2021-09-08T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Brunico,39031,Via J Seeber 1/b,Via J Seeber,1b,S Anna,2021-08-06T00:00:00Z
"060 - Friuli Venezia
Giulia",205 - FRIULI OCCIDENTALE,Pordenone,33170,Viale Michelangelo Grigoletti71A,Viale Michelangelo Grigoletti,71a,Farmacia San Lorenzo Snc del Dottor Rinaldo Sanson E,2021-08-19T00:00:00Z
"060 - Friuli Venezia
Giulia",207 - AZIENDA SANITARIA UNIVERSITARIA GIULIANO ISONTINA (ASU GI),Gorizia,34170,Corso Italia89,Corso Italia,89,Farmacia al Corso del Dottor Marzini Pierpaolo e C S.A.S.,2021-08-19T00:00:00Z
"060 - Friuli Venezia
Giulia",206 - AZIENDA SANITARIA UNIVERSITARIA FRIULI CENTRALE (ASU FC),Fagagna,33034,Spillimbergo184A,Spillimbergo,184a,Farmacia La Corte Snc di Riva Anastasia e C,2021-08-18T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Laces,39021,Piazza Principale 12,Piazza Principale,12,Sonnenberg,2021-08-10T00:00:00Z
"060 - Friuli Venezia
Giulia",206 - AZIENDA SANITARIA UNIVERSITARIA FRIULI CENTRALE (ASU FC),Verzegnis,33020,Udine 2,Udine,2,Farmacia Guida 1853 del Dottor Pier Luigi Guida,2021-08-16T00:00:00Z
"060 - Friuli Venezia
Giulia",206 - AZIENDA SANITARIA UNIVERSITARIA FRIULI CENTRALE (ASU FC),Udine,33100,Via Bariglaria24,Via Bariglaria,24,Farmacia San Gottardo di Cadamuro Luca Ec S.N.C.,2021-08-08T00:00:00Z
190 - Sicilia,203 - ASP CATANIA,Catania,95129,Viale Libertà 57,Viale Libertà,57,Farmacia della Stazione S.R.L.,2021-08-17T00:00:00Z
190 - Sicilia,206 - PALERMO,Palermo,90135,Via Tindari 48,Via Tindari,48,Dott. Alioto Piero S.N.C,2021-08-09T00:00:00Z
"060 - Friuli Venezia
Giulia",207 - AZIENDA SANITARIA UNIVERSITARIA GIULIANO ISONTINA (ASU GI),Trieste,34137,Campo San Giacomo 1,Campo San Giacomo,1,Farm. Dottor Patuna del Dottor Alessandro Patuna e C. S.A.S.,2021-08-10T00:00:00Z
"060 - Friuli Venezia
Giulia",205 - FRIULI OCCIDENTALE,Casarsa della Delizia,33072,Via Plebiscito 50-52,Via Plebiscito,50-52,Farmacia San Giovanni S R L,2021-09-09T00:00:00Z
190 - Sicilia,206 - PALERMO,Palermo,90100,Piazza Giovanni Amendola 14,Piazza Giovanni Amendola,14,Farmacia Amendola Snc dei Dottori Francesco Longo,2021-08-12T00:00:00Z
"060 - Friuli Venezia
Giulia",205 - FRIULI OCCIDENTALE,Sacile,33077,Piazza Manin 11-12,Piazza Manin,11-12,Farmacia Sacile S.R.L.,2021-08-16T00:00:00Z
"060 - Friuli Venezia
Giulia",205 - FRIULI OCCIDENTALE,Pordenone,33170,Piazzale Risorgimento27,Piazzale Risorgimento,27,Farmacia Internazionale Badanai Scalzotto S.R.L.,2021-08-14T00:00:00Z
"060 - Friuli Venezia
Giulia",205 - FRIULI OCCIDENTALE,Bagnarola,33079,Via Santa Lucia 42/c,Via Santa Lucia,42c,Farmacia Dottoressa Cristiana Godeas S.A.S.,2021-08-17T00:00:00Z
"060 - Friuli Venezia
Giulia",206 - AZIENDA SANITARIA UNIVERSITARIA FRIULI CENTRALE (ASU FC),Sedegliano,33039,Piazza Roma 36,Piazza Roma,36,Farm. S. Antonio Dottori. C. Scrigner E R. Ventre,2021-08-23T00:00:00Z
190 - Sicilia,206 - PALERMO,Palermo,90100,Via dei Quartieri 10-14,Via dei Quartieri,10-14,Farmacia Bilardo della D.ssa Bilardo E C. Snc Ges,2021-08-06T00:00:00Z
"060 - Friuli Venezia
Giulia",207 - AZIENDA SANITARIA UNIVERSITARIA GIULIANO ISONTINA (ASU GI),Trieste,34146,Di Servola44,Di Servola,44,Farmacia al San Lorenzo Sas Hippo 101farma S.R.L.,2021-08-10T00:00:00Z
"060 - Friuli Venezia
Giulia",205 - FRIULI OCCIDENTALE,Cordenons,33084,Via Mazzini70,Via Mazzini,70,Farmacia ai Due Gigli S a S di Hippo 102,2021-08-16T00:00:00Z
"060 - Friuli Venezia
Giulia",207 - AZIENDA SANITARIA UNIVERSITARIA GIULIANO ISONTINA (ASU GI),San Canzian D'isonzo,34075,Cesare Battisti14,Cesare Battisti,14,Farmacia Isontina di Bertolini Rosanna,2021-08-13T00:00:00Z
"060 - Friuli Venezia
Giulia",206 - AZIENDA SANITARIA UNIVERSITARIA FRIULI CENTRALE (ASU FC),Pozzuolo del Friuli,33050,Via Lignano Fr Zugliano41,Via Lignano Fr Zugliano,41,Farmacia Sant'andrea Snc Dott Ri E Tosolini E,2021-08-17T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Appiano,39057,Via Stazione 99/a,Via Stazione,99a,S Michele,2021-08-06T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Valdaora,39030,Via Krempe 1/b,Via Krempe,1b,Engel Valdaora,2021-08-06T00:00:00Z
"060 - Friuli Venezia
Giulia",206 - AZIENDA SANITARIA UNIVERSITARIA FRIULI CENTRALE (ASU FC),San Daniele del Friuli,33038,Cesare Battisti 42,Cesare Battisti,42,Farmacia Mareschi Dr Sivilotti Stefano e C S.A.S.,2021-08-12T00:00:00Z
"060 - Friuli Venezia
Giulia",207 - AZIENDA SANITARIA UNIVERSITARIA GIULIANO ISONTINA (ASU GI),Trieste,34151,Di Prosecco - Opicina3,Di Prosecco,3,Farmacia Cermelj S.A.S.,2021-08-12T00:00:00Z
"060 - Friuli Venezia
Giulia",206 - AZIENDA SANITARIA UNIVERSITARIA FRIULI CENTRALE (ASU FC),Gemona del Friuli,33013,Via Tagliamento 50,Via Tagliamento,50,Alla Madonna Dotri De Clauser Alfeo E Giovanni S.N.C.,2021-09-01T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Bolzano .Bozen.,39100,Viale Druso 43,Viale Druso,43,S.Quirino,2021-08-06T00:00:00Z
190 - Sicilia,203 - ASP CATANIA,Palagonia,95046,Via Palermo 59,Via Palermo,59,Farmacia Palike' S.R.L.,2021-08-20T00:00:00Z
"060 - Friuli Venezia
Giulia",206 - AZIENDA SANITARIA UNIVERSITARIA FRIULI CENTRALE (ASU FC),Tavagnacco,33010,Via Enrico Fermi100,Via Enrico Fermi,100,Farmacia Comun di Tavagnacco Srl Sede Di Feletto Umb,2021-08-13T00:00:00Z
"060 - Friuli Venezia
Giulia",207 - AZIENDA SANITARIA UNIVERSITARIA GIULIANO ISONTINA (ASU GI),Trieste,34139,Revoltella49,Revoltella,49,G B Busolini Farmacia di F Busolini e C S.A.S.,2021-08-19T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Sesto,39030,Via Dolomiti 23,Via Dolomiti,23,Sesto,2021-08-06T00:00:00Z
190 - Sicilia,203 - ASP CATANIA,Mascalucia,95030,Via del Bosco 227,Via del Bosco,227,Farmacia Dott.ssa Isgro' Maria,2021-08-10T00:00:00Z
"060 - Friuli Venezia
Giulia",206 - AZIENDA SANITARIA UNIVERSITARIA FRIULI CENTRALE (ASU FC),Enemonzo,33020,Nazionale60,Nazionale,60,Farmacia Marini di Cecco Paola e C S.A.S.,2021-08-19T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Bolzano,39100,Via Brennero 2,Via Brennero,2,S. Antonio,2021-08-06T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Bressanone,39042,Portici Minori 2,Portici Minori,2,di Corte Principe Vescovile,2021-08-11T00:00:00Z
"060 - Friuli Venezia
Giulia",206 - AZIENDA SANITARIA UNIVERSITARIA FRIULI CENTRALE (ASU FC),Ragogna,33030,Roma14,Roma,14,Farmacia Romanello Dottoressa E Romanello e C S.A.S.,2021-08-17T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Brunico,39031,Via Centrale 43,Via Centrale,43,Von Zieglauer,2021-08-06T00:00:00Z
"060 - Friuli Venezia
Giulia",205 - FRIULI OCCIDENTALE,Budoia,33070,Panizzut 6,Panizzut,6,Farmacia Due Mondi del Dr Kahol Nabil Khalil S a S,2021-08-13T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Caldaro,39052,Vicolo Stella 9/b,Vicolo Stella,9b,Vitalis,2021-08-06T00:00:00Z
"060 - Friuli Venezia
Giulia",207 - AZIENDA SANITARIA UNIVERSITARIA GIULIANO ISONTINA (ASU GI),Trieste,34144,Via D'alviano 23,Via D'alviano,23,Farmacia ai Gemelli S.R.L.,2021-08-06T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Chiusa .Klausen.,39043,Città Alta 43,Città Alta,43,Dr Joerg Aichner,2021-08-06T00:00:00Z
"060 - Friuli Venezia
Giulia",207 - AZIENDA SANITARIA UNIVERSITARIA GIULIANO ISONTINA (ASU GI),Mariano del Friuli,34070,Via Manzoni 159,Via Manzoni,159,Farmacia Fanchi Sas del Dott. Paolo Micoli,2021-08-19T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Bressanone,39042,Via Prà Millan 2/b,Via Prà Millan,2b,Franziskus,2021-08-06T00:00:00Z
"060 - Friuli Venezia
Giulia",206 - AZIENDA SANITARIA UNIVERSITARIA FRIULI CENTRALE (ASU FC),Povoletto,33040,Via Principale Fraz Savorgnano del Torre46,Via Principale Fraz Savorgnano del Torre,46,Muga Sas di Giacomo Mugani,2021-08-16T00:00:00Z
190 - Sicilia,203 - ASP CATANIA,Grammichele,95042,Via Vittorio Emanuele 202,Via Vittorio Emanuele,202,Farmacia Frazzetto di Alamo Carlo e C S.N.C.,2021-09-04T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Lana .Lana.,39011,Via Gries 27,Via Gries,27,Maria delle Grazie,2021-08-06T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Monguelfo,39035,Via Parrocchia 1/a,Via Parrocchia,1a,al Castello,2021-08-06T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Naturno,39025,Via Principale 16,Via Principale,16,San Zeno,2021-08-06T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Ortisei .St Ulrich.,39046,Via Rezia 73/b,Via Rezia,73b,Sella,2021-08-06T00:00:00Z
190 - Sicilia,206 - PALERMO,Palermo,90100,Via Montalbo 124,Via Montalbo,124,Dott. Alioto Piero S.N.C.,2021-09-07T00:00:00Z
190 - Sicilia,203 - ASP CATANIA,Mascalucia,95030,Corso San Vito 120,Corso San Vito,120,Farmacia Pappalardo del Dott. Pappalardo Filippo e C. S.N.C.,2021-08-13T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Silandro,39028,Via Ospedale 4/a,Via Ospedale,4a,Schlanders,2021-08-06T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Terlano,39018,Via Chiesa 2,Via Chiesa,2,Dr. Karl Weinreich,2021-08-11T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Vipiteno,39049,Piazza Città 10,Piazza Città,10,Citta',2021-08-06T00:00:00Z
190 - Sicilia,203 - ASP CATANIA,Catania,95128,Via Gabriele D'annunzio 9/11,Via Gabriele D'annunzio,9/11,Farmacia Monserrato S.R.L.,2021-08-26T00:00:00Z
190 - Sicilia,206 - PALERMO,Corleone,90034,Via Don Giovanni Colletto 36,Via Don Giovanni Colletto,36,Farmacia Mongiovi' di Mongiovi' Anna E C. S.N.C,2021-08-16T00:00:00Z
190 - Sicilia,203 - ASP CATANIA,Belpasso,95032,Viale Astrel 1,Viale Astrel,1,Farmacia Leopardi S.R.L.,2021-08-19T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Bolzano,39100,Piazza Don Bosco 6/b,Piazza Don Bosco,6b,Farmacia Don Bosco,2021-08-06T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Bolzano,39100,Via Claudia Augusta 119,Via Claudia Augusta,119,Dr Gilli,2021-08-06T00:00:00Z
190 - Sicilia,206 - PALERMO,Palermo,90146,Via Ugo La Malfa 115,Via Ugo La Malfa,115,Farmacia La Malfa S.N.C. Delle Dott.sse Erica Gaz,2021-08-11T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Merano,39012,Via Monastero 53,Via Monastero,53,S Damiano,2021-08-06T00:00:00Z
190 - Sicilia,206 - PALERMO,Lercara Friddi,90025,Piazza Umberto Primo 32-33,Piazza Umberto Primo,32-33,Farmacia Cali' Snc del Dr.Giovanni Cali' E C,2021-09-01T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Bolzano .Bozen.,39100,Galleria Telser 8,Galleria Telser,8,Gries,2021-08-09T00:00:00Z
190 - Sicilia,206 - PALERMO,San Giuseppe Jato,90048,Corso Umberto Primo 181,Corso Umberto Primo,181,Far. Mannino della Dott.ssa Mannino Maria S.N.C,2021-08-06T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Lagundo,39022,Via Weingartner 52,Via Weingartner,52,St Ulrich,2021-08-06T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Merano,39012,Piazza Vittorio Veneto 9,Piazza Vittorio Veneto,9,Sinigo,2021-08-06T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Postal,39014,Via Roma 87,Via Roma,87,Postal,2021-08-11T00:00:00Z
180 - Calabria,201 - ASP DI COSENZA,Scalea,87029,Piazza Caloprese 14,Piazza Caloprese,14,Bergamo Sergio,2021-08-07T00:00:00Z
190 - Sicilia,206 - PALERMO,Prizzi,90038,Piazza San Francesco 10,Piazza San Francesco,10,Farmacia Mongiovi' di Mongiovi' Anna E C. S.N.C,2021-08-17T00:00:00Z
160 - Puglia,114 - BA,Bari,70122,Via S Visconti 102,Via S Visconti,102,Farmacia Antuofermo S.R.L.,2021-08-14T00:00:00Z
160 - Puglia,114 - BA,Bari,70122,Corso V Emanuele 149,Corso V Emanuele,149,Boccuzzi Grazia,2021-08-09T00:00:00Z
190 - Sicilia,206 - PALERMO,Palermo,90145,Viale Michelangelo 311,Viale Michelangelo,311,Farmacia dei Servizi S.R.L.,2021-08-23T00:00:00Z
160 - Puglia,114 - BA,Bari,70121,Via Dante Alighieri 58,Via Dante Alighieri,58,Fullone Francesco,2021-08-11T00:00:00Z
160 - Puglia,114 - BA,Bari,70126,Viale Japigia 43,Viale Japigia,43,Ragone Snc di Angelo e Vito,2021-08-30T00:00:00Z
170 - Basilicata,202 - AZIENDA SANITARIA LOCALE DI MATERA ASM,Accettura,75011,Via Roma 14,Via Roma,14,Farmacia Onorato della Dr.ssa Barbarito Onorato N,2021-08-09T00:00:00Z
160 - Puglia,114 - BA,Bari,70123,Via Crispi 99,Via Crispi,99,Farmacia Lozupone Snc dei Dott.Ri Vincenzo Danilo e Maria Elena Vittoria Lozup,2021-08-06T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10122,Via delle Orfane 25,Via delle Orfane,25,della Consolata,2021-08-06T00:00:00Z
190 - Sicilia,206 - PALERMO,Polizzi Generosa,90028,Via Garibaldi 61,Via Garibaldi,61,Farmacia Dr.ssa Ciotta Carmela Maria Chiara,2021-08-18T00:00:00Z
160 - Puglia,114 - BA,Bari,70122,Via Manzoni 55,Via Manzoni,55,Bellini Filomena,2021-08-09T00:00:00Z
160 - Puglia,114 - BA,Bari,70122,Via Calefati 123 127,Via Calefati,127,Farmacia Favia Nicola di Farmauriga,2021-08-10T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10122,Via San Francesco D'assisi 14,Via San Francesco D'assisi,14,Collegiata Santa Maria,2021-08-06T00:00:00Z
120 - Lazio,110 - RIETI,Contigliano,02043,Via della Repubblica 44,Via della Repubblica,44,Buzzi Romolo,2021-09-09T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10128,Corso Stati Uniti 5,Corso Stati Uniti,5,Farmacia Leva S.N.C.,2021-08-06T00:00:00Z
160 - Puglia,114 - BA,Bari,70123,Via Tommaso Fiore 29,Via Tommaso Fiore,29,Tempesta Dr Arnaldo S.N.C.,2021-09-01T00:00:00Z
180 - Calabria,201 - ASP DI COSENZA,Bonifati,87020,Via Nazionale 20,Via Nazionale,20,Morelli Dr. Benedetto,2021-08-07T00:00:00Z
190 - Sicilia,206 - PALERMO,Cefalà Diana,90030,Piazza Umberto 20,Piazza Umberto,20,Farmacia Cefala' Diana S.R.L.,2021-08-08T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10124,Via Po 14,Via Po,14,Farmacia dell'universita' Giorda,2021-08-06T00:00:00Z
160 - Puglia,114 - BA,Bari,70122,Via Ruggiero Il Normanno 80,Via Ruggiero Il Normanno,80,Melillo S.R.L.,2021-08-27T00:00:00Z
120 - Lazio,202 - RM 2,Roma,00172,Piazza dei Mirti 1,Piazza dei Mirti,1,Marchetti dei Fratelli Marchetti S.N.C.,2021-08-16T00:00:00Z
180 - Calabria,201 - ASP DI COSENZA,San Lucido,87038,Via F. Giuliani 9,Via F. Giuliani,9,Pizzuti Enrico,2021-08-13T00:00:00Z
120 - Lazio,110 - RIETI,Colli sul Velino,02010,Piazza a Diaz 6,Piazza a Diaz,6,Puzelli Giuseppe Antonio,2021-08-07T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10123,Via Giolitti 7/c,Via Giolitti,7c,Farmacia Madonna degli Angeli,2021-08-09T00:00:00Z
120 - Lazio,110 - RIETI,Rieti,02100,Via Xxiii Settembre 9,Via Xxiii Settembre,9,Ruggieri Elena,2021-09-06T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10129,Corso A. De Gasperi 69,Corso A. De Gasperi,69,Farmacia Maria Cristina Sas del Dott. Pautasso Ren,2021-08-07T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10124,Via Po 51,Via Po,51,Berta di Collegiata S.A.S.,2021-08-06T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10122,Via del Carmine 1,Via del Carmine,1,Collegiata Dr. Ferrero di Ferrero Dr.Carlo,2021-08-07T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10123,Corso Vittorio Emanuele Ii 34,Corso Vittorio Emanuele Ii,34,Anedda,2021-08-16T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10100,Corso Sommeiller 31,Corso Sommeiller,31,Farmacia Sant'anna S.N.C.,2021-08-06T00:00:00Z
160 - Puglia,114 - BA,Bari,70121,Carbonara Piazza Umberto I 88,Carbonara Piazza Umberto I,88,Loiacono Antonio,2021-08-16T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10100,Via Mazzini 24,Via Mazzini,24,Farmacia del Conservatorio S.N.C.,2021-08-06T00:00:00Z
160 - Puglia,114 - BA,Bari,70121,Via De Marinis 141,Via De Marinis,141,Pesola Marcella,2021-08-09T00:00:00Z
160 - Puglia,114 - BA,Bari,70012,Via di Venere 14,Via di Venere,14,Falagario Giuseppe,2021-08-30T00:00:00Z
160 - Puglia,114 - BA,Bari,70128,Via Giovanni Valle 11,Via Giovanni Valle,11,Bellocchi Mario,2021-08-10T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10100,Via Nizza 15,Via Nizza,15,I Portici di Alm S.A.S.,2021-08-23T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10100,Via Santa Teresa 21,Via Santa Teresa,21,Farmacia Solferino S.N.C.,2021-08-06T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10100,Via Po 31,Via Po,31,Farmacia degli Stemmi di Maranzana Claudia,2021-08-06T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10100,Corso Vinzaglio 31/e,Corso Vinzaglio,31e,Farmacia Montanaro S.N.C.,2021-09-08T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10100,Via Cernaia 14/a,Via Cernaia,14a,Farmacia Pensa di Cristiana Pensa e C S.A.S.,2021-08-06T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10100,Via Genova 179/f,Via Genova,179f,Farmacia San Dario S.N.C.,2021-08-09T00:00:00Z
160 - Puglia,114 - BA,Alberobello,70011,Piazza del Popolo 7,Piazza del Popolo,7,Indiveri Vittorio,2021-08-11T00:00:00Z
160 - Puglia,114 - BA,Alberobello,70011,Corso Vitt Emanuele 4,Corso Vitt Emanuele,4,Farmacia dell'aera S R L,2021-08-12T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10100,Corso Turati 74,Corso Turati,74,Farmacia Alchemica S.A.S.,2021-08-13T00:00:00Z
160 - Puglia,114 - BA,Altamura,70022,Via Genova Angolo Piazza S Lorenzo 2,Via Genova Angolo Piazza S Lorenzo,2,Farmacia Calia 1813 S R L,2021-08-12T00:00:00Z
160 - Puglia,114 - BA,Altamura,70022,Via dei Mille,Via dei Mille,,Chierico,2021-08-11T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10100,Via Nizza 65,Via Nizza,65,Farmacia Nizza Sas di Arossa Tiziana E C,2021-08-07T00:00:00Z
180 - Calabria,201 - ASP DI COSENZA,San Pietro In Amantea,87030,Via Michele Veltri 5,Via Michele Veltri,5,Farmacia Furfaro Dott.ssa Giuseppina,2021-08-09T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10122,Piazza della Repubblica 6/b,Piazza della Repubblica,6b,Farmacia Ordine Mauriziano S.N.C.,2021-08-06T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10131,Via Monferrato 22/e,Via Monferrato,22e,Farmacia Borgo Po di Mater S.R.L.,2021-08-06T00:00:00Z
160 - Puglia,114 - BA,Altamura,70022,Vico F Lli Serena 1,Vico F Lli Serena,1,Maggi Nicola,2021-09-01T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10121,Via Roma 24,Via Roma,24,Farmacia Vecco S.N.C.,2021-08-06T00:00:00Z
160 - Puglia,114 - BA,Altamura,70022,Corso Federico Ii di S 52,Corso Federico Ii di S,52,Pappalardo Ferdinando,2021-08-23T00:00:00Z
010 - Piemonte,301 - ASL - Citta di Torino,Torino,10122,Via Garibaldi 26,Via Garibaldi,26,Antica Farmacia Bosio,2021-08-09T00:00:00Z
180 - Calabria,201 - ASP DI COSENZA,Grisolia,87020,Via Progresso 2,Via Progresso,2,Farmacia De Patto Giuseppe,2021-08-06T00:00:00Z
120 - Lazio,110 - RIETI,Castel Sant Angelo,02010,Via Nazionali I 36,Via Nazionali I,36,Grillo Elena,2021-08-07T00:00:00Z
180 - Calabria,201 - ASP DI COSENZA,Lago,87035,Via P. Mazzotti 22,Via P. Mazzotti,22,Farmacia Bilotta S.N.C.,2021-08-18T00:00:00Z
180 - Calabria,201 - ASP DI COSENZA,"Marina di Belvedere
Marittimo",87021,Via G. Grossi 8,Via G. Grossi,8,Farmacia Giancotti Snc di Marialetizia De Bellis e Gabriella Curino,2021-08-10T00:00:00Z
180 - Calabria,201 - ASP DI COSENZA,Praia a Mare,87028,Via P. Longo 51,Via P. Longo,51,Farmacia Dr. Nappi Gianpiero,2021-08-06T00:00:00Z
120 - Lazio,110 - RIETI,Scandriglia,02038,Via Roma 18,Via Roma,18,Carlini Coronetta S N C di Carlini M Teresa e Coronetta Gino,2021-08-27T00:00:00Z
180 - Calabria,201 - ASP DI COSENZA,"Via Nazionale ,44",87020,Via Nazionale 44,Via Nazionale,44,Farmacia S.Rosa del Dott. Pompeo Cavaliere e C. S,2021-08-27T00:00:00Z
180 - Calabria,201 - ASP DI COSENZA,Paola,87027,Nuova del Porto 11,Nuova del Porto,11,Farmacia Vincenzo Arturi della Dott.ssa Anna Laura Suriano e C. S.A.S.,2021-08-10T00:00:00Z
120 - Lazio,110 - RIETI,Leonessa,02016,Via G.Felici Snc,Via G.Felici,,Giampaoli Paolo e Maria Cristina S.N.C.,2021-08-11T00:00:00Z
180 - Calabria,201 - ASP DI COSENZA,Campora San Giovanni,87032,Via dei Gladioli 1/c,Via dei Gladioli,1c,Farmacia De Grazia Aristide S.R.L.,2021-08-07T00:00:00Z
120 - Lazio,110 - RIETI,Cantalice,02014,Via Mazzini 29,Via Mazzini,29,Boccanera Pierluigi,2021-08-07T00:00:00Z
180 - Calabria,201 - ASP DI COSENZA,Cleto,87030,C/da Marina di Savuto 200,C/da Marina di Savuto,200,Farmacia Olivito e Cariati S.A.S. Di Olivito Mart,2021-08-23T00:00:00Z
180 - Calabria,205 - ASP DI REGGIO CALABRIA,Palmi,89015,Corso Te A. Barbaro 20,Corso Te A. Barbaro,20,F.Cia Galluzzo S.A.S. della D.ssa Renata Galluzzo,2021-08-09T00:00:00Z
180 - Calabria,201 - ASP DI COSENZA,Marina di Fuscaldo,87024,Via Maggiore Alfonso Vaccari 36,Via Maggiore Alfonso Vaccari,36,Farmacia Licursi Dott. Carlo S.R.L.,2021-08-14T00:00:00Z
120 - Lazio,110 - RIETI,Greccio,02040,Piazza Madonna di Loreto 23-24,Piazza Madonna di Loreto,23-24,Fabi Emiliano,2021-08-09T00:00:00Z
180 - Calabria,201 - ASP DI COSENZA,Laccata,87028,Via delle Industrie 13,Via delle Industrie,13,Farmacia Laccata S.R.L.,2021-08-07T00:00:00Z
